2023-12-01 14:20:47.600472|37.3025,1.665|22.583750000000002,0.8150000000000001|37.51,1.3425|36.835,1.32875
2023-12-01 14:22:47.701071|37.2525,1.665|22.65875,0.81625|37.49125,1.34125|36.87125,1.33125
2023-12-01 14:24:47.706073|37.36875,1.615|22.75625,0.82125|37.44375,1.34|36.85125,1.32875
2023-12-01 14:26:47.807331|37.268750000000004,1.6600000000000001|22.85625,0.8225|37.39,1.3375000000000001|36.82,1.32875
2023-12-01 14:28:47.856468|37.19,1.6175|22.85625,0.82125|37.33375,1.33625|36.79375,1.33
2023-12-01 14:30:47.916788|37.0525,1.6575|23.337500000000002,0.84|37.29125,1.33625|36.78875,1.33
2023-12-01 14:32:47.984480|37.07625,1.595|23.125,0.835|33.073750000000004,1.185|36.7525,1.325
2023-12-01 14:34:47.990327|36.87,1.64625|23.13875,0.8325|26.81375,0.96125|36.7075,1.32625
2023-12-01 14:36:48.044213|36.835,1.65125|23.1525,0.83375|25.333750000000002,0.9075|36.685,1.32375
2023-12-01 14:38:48.144865|37.0175,1.56875|23.5,0.8462500000000001|25.650000000000002,0.9175|36.81,1.32875
2023-12-01 14:40:48.206039|36.80375,1.65375|24.0125,0.86625|26.01375,0.9325|36.73875,1.3275000000000001
2023-12-01 14:42:48.306746|36.72125,1.55125|24.5675,0.88375|26.3675,0.94375|36.66125,1.3225
2023-12-01 14:44:48.306202|36.79125,1.64875|25.57875,0.92125|25.895,0.9275|36.980000000000004,1.33625
2023-12-01 14:46:48.409738|36.85875,1.655|25.2,0.91|25.11375,0.89875|36.972500000000004,1.335
2023-12-01 14:48:48.508806|36.84,1.6525|23.6375,0.8512500000000001|24.85875,0.89|36.9975,1.3375000000000001
2023-12-01 14:50:48.571816|36.83375,1.6525|26.00625,0.93625|24.8425,0.89|37.011250000000004,1.335
2023-12-01 14:52:48.673077|36.80125,1.6525|27.31375,0.98375|24.79125,0.8875000000000001|36.965,1.33375
2023-12-01 14:54:48.674106|36.5925,1.64375|28.0125,1.00875|24.7625,0.8875000000000001|36.95125,1.33375
2023-12-01 14:56:48.774793|35.472500000000004,1.61375|32.3925,1.16625|24.747500000000002,0.8875000000000001|36.9325,1.33375
2023-12-01 14:58:48.876201|34.6225,1.5875000000000001|35.815,1.2925|24.7725,0.88625|37.00625,1.33625
2023-12-01 15:00:48.937999|33.67875,1.56125|33.6375,1.21125|24.8,0.88875|37.066250000000004,1.33875
2023-12-01 15:02:49.038838|33.685,1.55375|29.3,1.055|24.743750000000002,0.88625|36.96875,1.335
2023-12-01 15:04:49.040826|30.09625,1.4575|28.1975,1.0150000000000001|24.61375,0.8825000000000001|36.92125,1.3325
2023-12-01 15:06:49.136473|33.05625,1.3725|29.6025,1.06625|24.5425,0.88|36.94625,1.335
2023-12-01 15:08:49.237679|34.3175,1.58125|33.32875,1.2|24.685000000000002,0.885|36.935,1.33375
2023-12-01 15:10:49.299066|21.84375,1.21625|27.535,0.9925|24.736250000000002,0.88625|36.705,1.325
2023-12-01 15:12:49.361166|18.965,1.02375|29.71,1.07|24.3875,0.87375|24.09875,0.87
2023-12-01 15:14:49.362865|20.495,0.8512500000000001|32.8025,1.1812500000000001|21.10625,0.75625|17.493750000000002,0.63
2023-12-01 15:16:49.463903|19.38125,0.73625|25.056250000000002,0.9025|16.78,0.6|16.58875,0.5975
2023-12-01 15:18:49.503064|16.345,0.9525|21.98375,0.79125|16.44625,0.59|16.24875,0.585
2023-12-01 15:20:49.565015|18.54,1.06875|19.556250000000002,0.70375|15.95875,0.57125|15.97125,0.57625
2023-12-01 15:22:49.665502|19.806250000000002,1.115|17.552500000000002,0.63125|15.5375,0.55625|15.383750000000001,0.55375
2023-12-01 15:24:49.667874|27.9475,1.38625|16.3525,0.5875|15.38625,0.55125|15.84625,0.5700000000000001
2023-12-01 15:26:49.768464|31.18,1.49125|17.605,0.63375|15.31375,0.54875|15.45125,0.5575
2023-12-01 15:28:49.869735|30.32875,1.25625|22.71625,0.81875|15.1425,0.54125|15.815,0.5700000000000001
2023-12-01 15:30:49.932266|27.465,1.3725|34.74,1.2525|14.936250000000001,0.5325|16.335,0.59
2023-12-01 15:32:50.032916|22.34,1.20625|33.19375,1.195|14.56,0.52|20.39,0.735
2023-12-01 15:34:50.036507|16.34,0.95625|26.37125,0.9525|14.17375,0.5075000000000001|23.5675,0.85
2023-12-01 15:36:50.137081|13.981250000000001,0.9762500000000001|23.47625,0.8462500000000001|13.76875,0.49375|20.9875,0.7575000000000001
2023-12-01 15:38:50.168489|15.92,0.47750000000000004|26.59875,0.95875|13.026250000000001,0.46625|17.95125,0.6475
2023-12-01 15:40:50.231247|10.588750000000001,0.86875|19.595,0.705|12.21625,0.4375|15.9575,0.5750000000000001
2023-12-01 15:42:50.276504|12.33375,0.41875|15.26125,0.54875|11.9275,0.42625|12.63625,0.45625
2023-12-01 15:44:50.279071|9.7725,0.7312500000000001|10.94,0.39375|11.64,0.41625|11.637500000000001,0.42
2023-12-01 15:46:50.379807|9.48375,0.485|10.125,0.365|11.305,0.40375|11.24125,0.405
2023-12-01 15:48:50.480438|9.175,0.51375|9.9575,0.3575|10.852500000000001,0.3875|10.97875,0.39375
2023-12-01 15:50:50.492486|8.57,0.7312500000000001|9.20875,0.33|10.651250000000001,0.38|10.48625,0.37875000000000003
2023-12-01 15:52:50.593740|8.22875,0.3925|9.11625,0.32625|10.51,0.375|10.0725,0.36375
2023-12-01 15:54:50.597115|8.50125,0.42|8.07375,0.29|10.2725,0.36875|9.665000000000001,0.34750000000000003
2023-12-01 15:56:50.698570|10.0175,0.335|7.5,0.27|9.85375,0.35375|8.91375,0.32125
2023-12-01 15:58:50.710223|10.633750000000001,0.265|6.89125,0.2475|9.15,0.32625|8.055,0.29
2023-12-01 16:00:50.776368|6.0287500000000005,0.58125|6.37125,0.2275|8.28,0.295|7.4275,0.2675
2023-12-01 16:02:50.824471|5.835,0.25125000000000003|5.92875,0.21375|7.6725,0.275|6.9125000000000005,0.24875
2023-12-01 16:04:50.827665|5.2375,0.665|5.52375,0.19875|7.12,0.2525|6.4075,0.2325
2023-12-01 16:06:50.928342|4.9262500000000005,0.6825|5.1925,0.18625|6.66875,0.23750000000000002|6.0425,0.21875
2023-12-01 16:08:51.029419|4.66,0.3825|4.90875,0.17625|6.327500000000001,0.2275|5.7775,0.20750000000000002
2023-12-01 16:10:51.048456|4.44,0.21875|4.5225,0.16125|5.8375,0.20875|5.32,0.19
2023-12-01 16:12:51.149926|4.125,0.16625|4.11,0.14375000000000002|5.265,0.1875|4.785,0.17250000000000001
2023-12-01 16:14:51.151567|3.6750000000000003,0.56125|3.7287500000000002,0.1325|4.7375,0.16875|4.3125,0.155
2023-12-01 16:16:51.255070|3.40875,0.1375|3.39625,0.12125|4.29,0.1525|3.9175,0.14
2023-12-01 16:18:51.268465|2.86875,0.16125|3.075,0.11|3.86125,0.1375|3.535,0.12625
2023-12-01 16:20:51.332182|8.28625,0.1125|2.76375,0.09625|3.44375,0.1225|3.14875,0.11125
2023-12-01 16:22:51.344470|8.185,0.09875|2.45375,0.08625000000000001|3.025,0.10625|2.765,0.0975
2023-12-01 16:24:51.348509|2.3325,0.09|2.1437500000000003,0.075|2.595,0.0925|2.40125,0.08625000000000001
2023-12-01 16:26:51.448996|3.8475,0.0775|1.8975,0.0675|2.2875,0.08|2.12625,0.075
2023-12-01 16:28:51.550479|1.625,0.5375|1.705,0.06|2.06,0.07125000000000001|1.92,0.0675
2023-12-01 16:30:51.596510|7.4775,0.0625|1.5175,0.055|1.8525,0.065|1.72625,0.06125
2023-12-01 16:32:51.697667|1.1925000000000001,0.0575|1.32875,0.04625|1.63625,0.058750000000000004|1.5325,0.05375
2023-12-01 16:34:51.702180|0.73625,0.455|1.1475,0.04|1.41,0.05|1.3275000000000001,0.04875
2023-12-01 16:36:51.760481|1.86,0.043750000000000004|0.9812500000000001,0.03375|1.18875,0.04125|1.1187500000000001,0.03875
2023-12-01 16:38:51.833357|0.46,0.535|0.83875,0.03|1.01875,0.03625|0.9675,0.035
2023-12-01 16:40:51.897953|1.34,0.0275|0.7125,0.025|0.87375,0.03125|0.83375,0.03
2023-12-01 16:42:51.928473|0.69375,0.02625|0.6025,0.02|0.77,0.0275|0.7312500000000001,0.02625
2023-12-01 16:44:51.933422|0.36875,0.0225|0.5025000000000001,0.0175|0.6525,0.0225|0.61375,0.02125
2023-12-01 16:46:52.034167|0.8125,0.0175|0.40750000000000003,0.015|0.535,0.01875|0.50125,0.0175
2023-12-01 16:48:52.135297|0.96,0.0125|0.325,0.01125|0.4325,0.01375|0.40625,0.01375
2023-12-01 16:50:52.144458|0.9325,0.01|0.2525,0.0075|0.34750000000000003,0.01125|0.32875,0.01125
2023-12-01 16:52:52.245559|0.0,0.01|0.19875,0.00875|0.275,0.01|0.26125,0.01
2023-12-01 16:54:52.250622|6.70875,0.00625|0.15,0.005|0.21375,0.0075|0.20375000000000001,0.0075
2023-12-01 16:56:52.261588|0.0,0.005|0.11375,0.00375|0.16375,0.00625|0.15375,0.005
2023-12-01 16:58:52.362817|0.0,0.4425|0.08375,0.0025|0.12125,0.00375|0.11375,0.00375
2023-12-01 17:00:52.428537|0.0,0.4625|0.06,0.00125|0.08750000000000001,0.0025|0.0825,0.005
2023-12-01 17:02:52.476483|0.0025,0.0025|0.0425,0.00125|0.0625,0.0025|0.06,0.00125
2023-12-01 17:04:52.483067|0.10875,0.00125|0.0275,0.00125|0.0425,0.00125|0.04125,0.0025
2023-12-01 17:06:52.584196|4.0200000000000005,0.0|0.01875,0.0|0.02875,0.0|0.03,0.0
2023-12-01 17:08:52.684646|0.85875,0.0|0.01375,0.0|0.02,0.0|0.02,0.0
2023-12-01 17:10:52.692441|0.0,0.00125|0.0075,0.0|0.01375,0.0|0.01625,0.00125
2023-12-01 17:12:52.793177|0.0,0.00125|0.00875,0.0|0.01,0.0|0.00875,0.0
2023-12-01 17:14:52.798478|0.55875,0.0|0.0025,0.00125|0.0075,0.0|0.00625,0.0
2023-12-01 17:16:52.899610|0.0,0.01875|0.00375,-0.00125|0.00375,0.0|0.005,0.0
2023-12-01 17:18:52.908489|0.8250000000000001,0.0|0.00375,-0.00125|0.00375,0.0|0.00375,0.0
2023-12-01 17:20:52.973963|2.81875,0.0|0.00125,0.0|0.0025,-0.00125|0.00375,0.0
2023-12-01 17:22:52.976456|1.1400000000000001,0.0|0.0,0.0|0.0,0.00125|0.00375,0.0
2023-12-01 17:24:52.982457|0.0,0.0|0.0,0.0|0.00125,0.0|0.0025,0.0
2023-12-01 17:26:53.005085|5.76375,0.00125|0.0,0.0|0.0,0.0|0.00125,0.0
2023-12-01 17:28:53.076418|0.0,0.23625000000000002|0.0,0.0|0.0,0.0|0.00125,0.0
2023-12-01 17:30:53.142234|4.4225,0.0|0.0,0.0|0.0,0.0|0.0,0.0
2023-12-01 17:32:53.184469|0.745,0.0|0.0,0.0|0.0,0.0|0.0,0.0
2023-12-01 17:34:53.190603|0.3275,-0.00125|0.0,0.0|0.0,0.0|0.00125,0.0
2023-12-01 17:36:53.291084|0.0,0.0|0.0,0.00125|0.0,0.0|0.00125,0.0
2023-12-01 17:38:53.392044|0.0375,0.0|0.0,0.00125|0.0,0.0|0.0,0.00125
2023-12-01 17:40:53.400450|0.0,0.445|0.0,0.0|0.0,0.0|0.00125,0.0
2023-12-01 17:42:53.456466|0.0,0.08750000000000001|0.0,0.0|0.0,0.0|0.0,0.0
2023-12-01 17:44:53.463605|5.10125,0.0|0.0,0.00125|0.0,0.0|0.0,0.00125
2023-12-01 17:46:53.558495|0.0,0.0|0.0,0.0|0.0,0.0|0.0,0.0
2023-12-01 17:48:53.659601|0.0,0.0|0.0,0.0|0.0,0.0|0.0,0.0
2023-12-01 17:50:53.725926|0.0,0.23500000000000001|0.0,0.0|0.0,0.0|0.00125,0.00125
2023-12-01 17:52:53.826749|0.0,0.30375|0.0,0.0|0.0,0.00125|0.0,0.0
2023-12-01 17:54:53.832905|0.81625,0.0|0.00125,0.0|0.0,0.00125|0.0,0.0
2023-12-01 17:56:53.933657|0.56,0.00125|0.0,0.0|0.0,0.0|0.0025,0.0
2023-12-01 17:58:54.034275|0.23375,0.3125|0.0,-0.00125|0.0,0.0|0.0,0.0
